math	english	chinese	history	physics
76	59	100	78	71
75	94	83	63	65
83	76	92	73	82
64	81	100	70	78
63	76	98	64	53
71	81	87	65	48
77	77	79	79	84
67	60	87	60	45
74	91	94	60	95
69	98	92	67	83
79	87	92	74	50
79	97	90	67	48
84	68	89	62	99
85	72	97	69	65
63	73	92	74	86
67	69	88	63	71
73	64	97	80	63
67	87	96	71	89
83	87	93	79	58
67	91	81	61	76
82	77	93	70	46
76	65	87	70	88
80	58	79	75	44
72	94	91	69	51
74	74	91	64	42
81	72	78	65	71
74	98	90	72	79
76	92	83	79	98
74	98	97	80	59
88	88	81	74	81
75	70	98	65	43
65	58	90	70	95
88	80	88	73	78
63	57	90	72	43
68	65	78	70	98
88	76	97	80	60
72	98	84	73	84
80	68	81	79	50
85	94	91	69	63
69	55	91	74	51
65	55	82	63	85
68	83	78	62	52
72	59	86	61	45
64	68	91	65	67
86	64	94	60	55
75	73	92	65	44
72	63	82	73	94
81	92	83	72	87
71	68	97	70	92
74	89	85	73	72
68	71	88	73	82
68	55	95	75	61
77	62	83	74	71
64	60	78	61	54
69	69	96	72	57
76	76	99	78	88
76	71	95	73	69
77	74	99	77	61
86	94	99	80	43
88	61	94	62	86
89	80	95	61	63
66	87	90	78	90
85	96	96	69	51
64	63	80	69	81
73	80	98	75	89
81	97	91	62	99
73	99	96	74	40
81	68	95	60	75
70	70	84	62	57
82	82	98	64	98
72	59	90	74	51
71	70	91	67	42
77	72	89	73	94
74	72	96	62	74
64	72	85	61	45
80	77	93	62	82
64	84	92	74	76
79	89	97	64	77
77	66	87	61	78
85	85	98	68	41
87	96	84	79	55
67	75	91	68	67
89	79	91	70	62
84	60	84	63	89
68	95	79	74	84
80	80	95	66	69
87	88	84	62	67
82	62	95	80	95
88	56	93	65	50
76	57	83	60	68
83	91	100	72	99
79	58	85	69	57
79	98	97	68	87
85	87	84	76	47
80	92	97	76	51
67	88	85	65	66
68	69	95	61	61
72	93	86	71	71
85	79	80	65	86
83	89	80	69	65
81	85	84	77	100
67	55	92	73	40
79	98	94	80	65
65	73	95	64	55
68	83	87	61	87
88	96	99	67	81
85	85	82	66	43
73	83	98	61	91
78	65	95	79	75
64	95	83	60	79
63	100	88	79	52
69	74	96	63	59
66	60	79	61	51
67	55	89	61	68
74	84	94	78	57
68	90	91	69	97
76	57	92	71	81
69	77	86	79	63
77	95	98	65	69
69	68	93	68	75
86	73	88	61	99
66	75	90	73	91
80	75	94	62	57
67	57	84	77	86
88	65	84	72	78
73	98	96	69	71
75	91	83	74	55
83	91	87	69	98
87	83	81	73	53
82	96	92	79	86
73	75	92	70	72
73	89	84	79	98
84	89	88	77	86
76	66	91	70	97
65	74	93	67	95
87	88	82	78	41
86	80	100	72	76
67	87	82	75	86
73	95	90	75	73
68	88	95	60	85
65	59	88	68	85
76	64	85	68	73
76	70	94	61	87
76	86	85	68	74
87	100	78	72	44
67	78	99	61	44
70	68	94	67	80
70	88	83	76	82
86	94	88	70	91
78	82	78	61	42
72	100	98	62	80
76	77	89	64	57
83	77	98	70	55
79	57	91	64	78
63	58	81	60	95
73	87	98	60	42
71	77	80	77	53
88	86	93	68	73
76	68	85	75	91
78	95	98	66	73
87	69	96	74	86
81	97	90	61	85
70	75	88	60	56
65	99	96	66	48
71	96	98	71	81
85	58	79	71	40
69	76	94	74	58
89	81	100	80	95
77	94	95	76	98
63	97	90	79	89
65	71	79	78	52
85	72	92	61	54
81	58	100	70	67
71	62	98	61	81
67	65	82	61	99
73	87	79	65	89
72	80	97	72	54
63	95	94	70	57
76	64	94	78	67
71	59	83	72	51
70	69	92	69	51
65	73	95	80	48
86	57	94	69	69
66	81	82	70	72
88	56	81	60	83
83	86	91	74	75
77	86	91	61	87
84	62	85	64	41
79	76	83	80	48
84	78	81	70	60
69	95	97	64	73
87	86	84	73	96
74	89	85	61	45
84	80	82	77	86
80	55	87	74	69
81	55	92	67	46
65	96	94	74	82
76	69	97	78	75
63	66	79	64	42
84	76	93	66	94
66	97	96	65	98
73	95	85	77	61
83	74	86	68	68
80	58	98	75	61
88	60	79	77	90
79	87	92	73	52
83	83	94	80	55
69	55	97	66	91
87	83	89	77	96
74	85	78	71	47
65	55	78	61	66
77	72	86	75	42
65	91	86	60	47
71	87	98	79	58
64	70	88	67	56
75	79	88	68	43
67	61	98	71	54
75	87	83	72	62
84	66	92	76	66
80	72	80	62	87
84	80	86	76	69
68	96	81	73	78
81	98	87	71	53
79	65	87	61	46
87	82	84	72	55
69	55	87	76	40
70	96	84	66	80
79	98	86	66	69
75	95	96	68	84
79	61	98	70	48
83	78	84	61	40
79	96	90	73	98
67	60	82	74	92
80	83	92	74	75
70	96	96	74	89
72	56	93	63	90
81	69	91	61	93
63	67	92	74	40
84	66	100	64	70
85	63	84	61	68
65	60	98	73	80
86	71	90	80	59
86	97	99	79	45
72	68	97	69	65
77	59	91	70	87
77	93	90	75	88
75	73	98	60	57
87	78	87	74	81
67	85	97	68	48
75	61	99	68	80
65	70	94	67	90
86	90	84	72	62
86	72	83	60	90
78	72	98	74	48
77	64	79	67	45
79	90	92	80	68
88	58	85	71	75
64	85	94	70	43
87	66	94	67	91
73	88	90	69	85
73	81	93	60	67
80	88	85	74	100
72	67	81	77	81
76	98	87	61	44
72	72	97	76	65
69	68	97	66	83
87	92	96	74	52
88	57	94	79	95
87	77	81	61	79
78	71	87	73	48
80	82	88	66	87
70	62	83	75	50
85	85	95	71	97
76	80	80	66	48
67	62	85	79	82
64	76	89	80	67
75	79	97	71	70
81	100	95	70	61
65	70	98	76	87
88	96	95	71	81
81	91	92	74	58
66	77	93	80	65
82	66	79	69	100
74	98	88	68	44
75	98	93	74	62
68	87	82	72	46
79	57	91	72	60
69	86	83	70	71
79	62	92	79	61
72	90	81	76	56
86	92	90	68	86
86	70	97	75	77
83	92	92	65	96
81	95	96	70	47
77	76	95	76	54
79	87	80	66	91
88	73	83	78	66
79	57	80	64	81
89	81	93	63	74
82	98	94	72	68
87	57	89	68	96
75	99	93	74	87
84	93	86	72	79
89	76	78	60	51
64	56	99	67	75
82	62	98	74	41
88	82	81	66	92
85	59	96	63	78
77	91	92	73	56
70	97	89	72	66
76	86	94	78	58
83	67	98	63	77
68	71	91	74	46
80	89	95	75	71
68	69	82	76	63
84	56	91	73	43
83	73	80	68	72
85	95	85	76	56
82	87	96	68	54
86	67	97	71	41
64	78	96	64	40
68	94	80	62	67
72	59	80	60	100
87	73	100	67	69
72	62	88	63	41
78	94	78	73	45
69	99	97	78	69
71	76	95	64	75
84	87	97	74	97
80	56	89	69	41
86	98	97	80	94
79	93	91	68	76
73	80	94	61	94
73	82	86	60	80
75	71	86	73	64
87	62	100	66	73
76	67	88	79	79
80	93	84	80	46
75	89	85	67	51
64	68	89	67	44
75	94	82	65	58
80	84	94	65	66
76	94	78	64	72
78	88	88	71	52
64	64	92	63	60
77	90	78	74	85
76	98	91	71	83
84	78	89	64	80
77	87	94	68	56
69	74	87	67	74
80	82	91	62	89
85	94	89	78	46
68	60	88	75	44
71	80	80	64	55
88	67	78	72	51
80	63	79	73	72
69	56	98	66	88
86	92	99	62	93
70	73	88	60	59
63	87	97	61	95
77	93	90	74	56
74	82	85	71	73
80	72	97	64	91
77	90	82	62	80
85	63	80	63	52
71	94	99	73	90
86	66	87	62	72
83	58	78	67	67
81	100	90	63	50
66	88	94	67	91
65	57	85	67	92
81	77	79	60	71
85	82	78	74	65
83	64	83	67	77
69	69	81	74	70
68	94	96	79	84
87	60	79	65	93
65	69	96	68	72
79	80	97	61	64
69	99	94	71	43
86	95	81	80	87
84	63	98	76	73
86	59	92	64	98
76	72	85	63	48
69	58	81	60	91
69	67	90	63	40
78	72	84	75	63
83	82	98	75	81
89	58	91	64	45
80	60	87	68	60
67	98	95	63	89
73	88	89	74	97
77	70	89	67	97
76	60	97	74	85
64	63	89	80	58
88	76	94	79	60
64	66	94	79	74
73	62	99	60	70
68	76	99	60	63
86	58	96	76	67
82	90	80	68	76
67	86	99	75	89
72	61	98	69	65
86	56	93	73	41
74	60	81	78	66
86	63	93	71	72
74	56	89	68	93
69	73	88	77	58
68	67	99	80	69
89	95	79	62	99
78	90	81	68	83
80	90	78	66	56
66	85	93	80	86
65	95	87	64	71
70	95	88	65	88
65	97	97	73	93
88	72	86	69	63
83	57	82	76	74
84	66	89	73	66
71	59	78	68	87
80	75	99	76	98
65	92	92	73	95
71	92	98	64	45
68	61	87	70	86
65	69	79	63	83
67	56	80	74	43
64	89	86	64	93
71	56	100	79	87
65	69	93	73	58
89	89	85	66	53
83	60	100	77	40
66	69	89	72	86
72	85	79	79	87
81	95	80	79	42
65	62	95	60	64
82	56	94	61	97
67	99	100	65	67
74	99	84	76	83
75	100	82	70	75
80	73	78	71	70
70	76	98	79	68
82	72	86	67	88
68	93	90	80	65
72	80	91	69	86
73	74	89	61	99
82	64	80	66	92
80	65	94	72	99
78	83	79	71	56
73	72	86	62	63
70	84	92	77	84
64	92	92	75	65
87	66	89	69	44
87	77	98	67	64
74	81	95	62	50
74	93	91	63	69
79	95	98	66	92
72	61	93	62	71
72	68	91	71	49
75	60	97	72	96
63	94	86	79	77
88	87	88	68	67
83	65	91	73	58
77	56	82	76	42
66	81	86	60	74
85	61	100	78	69
68	59	81	68	96
88	64	87	76	70
77	79	98	73	89
78	100	84	69	44
71	99	92	64	48
66	85	82	60	95
76	62	89	63	84
73	86	83	79	43
83	76	88	69	97
66	92	98	77	73
87	69	81	65	89
71	68	97	80	47
89	75	96	61	46
89	91	84	72	75
73	61	92	72	50
77	57	80	72	85
71	85	87	80	56
65	96	99	79	94
72	57	81	60	68
79	92	79	66	91
68	84	95	73	43
85	93	94	73	62
66	82	79	61	54
68	71	100	69	49
78	96	96	65	50
88	97	78	70	97
87	95	82	64	43
69	56	83	71	77
64	84	85	74	90
63	98	87	66	70
81	60	96	67	55
65	83	91	78	68
70	65	96	60	98
82	76	83	62	66
70	99	99	79	49
78	77	84	60	91
84	82	95	67	75
79	73	96	74	47
72	94	85	66	45
80	99	78	73	52
83	60	87	66	60
80	71	79	79	78
78	62	84	60	60
68	58	80	61	40
83	99	82	60	87
81	83	86	70	40
80	63	99	63	84
63	84	88	76	95
69	72	84	77	82
86	63	80	61	40
83	69	80	67	47
80	66	99	75	100
81	96	96	67	59
76	82	92	64	90
84	56	96	68	67
87	71	84	70	67
